movie_title,comment,tag
肖申克的救赎 The Shawshank Redemption,"Hope is good thing, and is everything.",剧情 犯罪
肖申克的救赎 The Shawshank Redemption,太经典了！值得反复推敲，每看一次都能得到新的体悟！,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,史上最有名的烂俗励志片，没有之一,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,“我没罪”，“我没错”，这就是本片提供的巨型情绪价值。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,当然是一部好电影，但他现在已经被物化成的最廉价的鸡汤。如果最顶级的电影就是这样的话，那电影这门事物真的是太让人失望了，也完全算不上艺术。不过万幸的是它不是最好的电影，它只不过是最烂大街的好电影。 幸亏有更好的电影更有理想和艺术追求的电影在捍卫的电影在艺术造诣方面的底线和天花板，才让电影没有在一片营销号的鸡汤中沦落为最廉价的网络谈资和消费品。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,这部标记排名第一的电影被越来越体制化的大众标记为需求，但那虚构的希望恐怕是个偌大的笑话。根深蒂固的资本原则在被掌权者剥夺权利的《第七大陆》上呈现出多端的众生相，资本积累成了人们重返自由和尊严彼岸的唯一途径。因此《肖申克的救赎》最终是代表统治阶级的救赎，它与作为人的人没有任何关系。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,在我心里显然不是第一,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,印象很深的一部电影，虽然很绝望，但永远不要放弃希望。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,我以为是个压抑影片，最后，我发现了希望的光。hope，谁也无法夺走，谁也无法消灭。这部影片，值得一看。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,经典老片，一看再看。过几天再把书看一遍！,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,真的很金典，每个人心里都有渴望不一样的自由，却又不得不被现实生活所束缚，很矛盾的个体，希望每个人能像安迪一样找到获得真正的自由。很喜欢摩根弗里曼,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,……,剧情 犯罪
